"dataset_id","lon","lat","years","title"
"0820b10a-5710-4e90-b9ed-a2ad7c7ec742",121.5,-13.5,6,"IMOS - Animal Tracking Facility - Acoustic Tracking - Quality Controlled Detections (2007 -2017)"
"0820b10a-5710-4e90-b9ed-a2ad7c7ec742",137.5,-34.5,4,"IMOS - Animal Tracking Facility - Acoustic Tracking - Quality Controlled Detections (2007 -2017)"
"0820b10a-5710-4e90-b9ed-a2ad7c7ec742",138.5,-35.5,3,"IMOS - Animal Tracking Facility - Acoustic Tracking - Quality Controlled Detections (2007 -2017)"
"0820b10a-5710-4e90-b9ed-a2ad7c7ec742",138.5,-34.5,7,"IMOS - Animal Tracking Facility - Acoustic Tracking - Quality Controlled Detections (2007 -2017)"
"0820b10a-5710-4e90-b9ed-a2ad7c7ec742",141.5,-12.5,5,"IMOS - Animal Tracking Facility - Acoustic Tracking - Quality Controlled Detections (2007 -2017)"
"0820b10a-5710-4e90-b9ed-a2ad7c7ec742",142.5,-12.5,5,"IMOS - Animal Tracking Facility - Acoustic Tracking - Quality Controlled Detections (2007 -2017)"
"0820b10a-5710-4e90-b9ed-a2ad7c7ec742",142.5,-11.5,3,"IMOS - Animal Tracking Facility - Acoustic Tracking - Quality Controlled Detections (2007 -2017)"
"0820b10a-5710-4e90-b9ed-a2ad7c7ec742",144.5,-38.5,4,"IMOS - Animal Tracking Facility - Acoustic Tracking - Quality Controlled Detections (2007 -2017)"
"0820b10a-5710-4e90-b9ed-a2ad7c7ec742",144.5,-37.5,3,"IMOS - Animal Tracking Facility - Acoustic Tracking - Quality Controlled Detections (2007 -2017)"
"0820b10a-5710-4e90-b9ed-a2ad7c7ec742",145.5,-38.5,4,"IMOS - Animal Tracking Facility - Acoustic Tracking - Quality Controlled Detections (2007 -2017)"
"0820b10a-5710-4e90-b9ed-a2ad7c7ec742",146.5,-19.5,3,"IMOS - Animal Tracking Facility - Acoustic Tracking - Quality Controlled Detections (2007 -2017)"
"0820b10a-5710-4e90-b9ed-a2ad7c7ec742",146.5,-18.5,6,"IMOS - Animal Tracking Facility - Acoustic Tracking - Quality Controlled Detections (2007 -2017)"
"0820b10a-5710-4e90-b9ed-a2ad7c7ec742",147.5,-42.5,5,"IMOS - Animal Tracking Facility - Acoustic Tracking - Quality Controlled Detections (2007 -2017)"
"0820b10a-5710-4e90-b9ed-a2ad7c7ec742",147.5,-19.5,5,"IMOS - Animal Tracking Facility - Acoustic Tracking - Quality Controlled Detections (2007 -2017)"
"0820b10a-5710-4e90-b9ed-a2ad7c7ec742",147.5,-18.5,4,"IMOS - Animal Tracking Facility - Acoustic Tracking - Quality Controlled Detections (2007 -2017)"
"0820b10a-5710-4e90-b9ed-a2ad7c7ec742",148.5,-42.5,5,"IMOS - Animal Tracking Facility - Acoustic Tracking - Quality Controlled Detections (2007 -2017)"
"0820b10a-5710-4e90-b9ed-a2ad7c7ec742",148.5,-40.5,4,"IMOS - Animal Tracking Facility - Acoustic Tracking - Quality Controlled Detections (2007 -2017)"
"0820b10a-5710-4e90-b9ed-a2ad7c7ec742",150.5,-36.5,6,"IMOS - Animal Tracking Facility - Acoustic Tracking - Quality Controlled Detections (2007 -2017)"
"0820b10a-5710-4e90-b9ed-a2ad7c7ec742",150.5,-35.5,6,"IMOS - Animal Tracking Facility - Acoustic Tracking - Quality Controlled Detections (2007 -2017)"
"0820b10a-5710-4e90-b9ed-a2ad7c7ec742",150.5,-34.5,4,"IMOS - Animal Tracking Facility - Acoustic Tracking - Quality Controlled Detections (2007 -2017)"
"0820b10a-5710-4e90-b9ed-a2ad7c7ec742",150.5,-33.5,4,"IMOS - Animal Tracking Facility - Acoustic Tracking - Quality Controlled Detections (2007 -2017)"
"0820b10a-5710-4e90-b9ed-a2ad7c7ec742",151.5,-34.5,7,"IMOS - Animal Tracking Facility - Acoustic Tracking - Quality Controlled Detections (2007 -2017)"
"0820b10a-5710-4e90-b9ed-a2ad7c7ec742",151.5,-33.5,8,"IMOS - Animal Tracking Facility - Acoustic Tracking - Quality Controlled Detections (2007 -2017)"
"0820b10a-5710-4e90-b9ed-a2ad7c7ec742",151.5,-23.5,7,"IMOS - Animal Tracking Facility - Acoustic Tracking - Quality Controlled Detections (2007 -2017)"
"0820b10a-5710-4e90-b9ed-a2ad7c7ec742",152.5,-32.5,6,"IMOS - Animal Tracking Facility - Acoustic Tracking - Quality Controlled Detections (2007 -2017)"
"0820b10a-5710-4e90-b9ed-a2ad7c7ec742",152.5,-31.5,4,"IMOS - Animal Tracking Facility - Acoustic Tracking - Quality Controlled Detections (2007 -2017)"
"0820b10a-5710-4e90-b9ed-a2ad7c7ec742",152.5,-30.5,3,"IMOS - Animal Tracking Facility - Acoustic Tracking - Quality Controlled Detections (2007 -2017)"
"0820b10a-5710-4e90-b9ed-a2ad7c7ec742",152.5,-28.5,3,"IMOS - Animal Tracking Facility - Acoustic Tracking - Quality Controlled Detections (2007 -2017)"
"0820b10a-5710-4e90-b9ed-a2ad7c7ec742",152.5,-26.5,3,"IMOS - Animal Tracking Facility - Acoustic Tracking - Quality Controlled Detections (2007 -2017)"
"0820b10a-5710-4e90-b9ed-a2ad7c7ec742",152.5,-24.5,5,"IMOS - Animal Tracking Facility - Acoustic Tracking - Quality Controlled Detections (2007 -2017)"
"0820b10a-5710-4e90-b9ed-a2ad7c7ec742",152.5,-23.5,7,"IMOS - Animal Tracking Facility - Acoustic Tracking - Quality Controlled Detections (2007 -2017)"
"0820b10a-5710-4e90-b9ed-a2ad7c7ec742",153.5,-31.5,4,"IMOS - Animal Tracking Facility - Acoustic Tracking - Quality Controlled Detections (2007 -2017)"
"0820b10a-5710-4e90-b9ed-a2ad7c7ec742",153.5,-30.5,6,"IMOS - Animal Tracking Facility - Acoustic Tracking - Quality Controlled Detections (2007 -2017)"
"0820b10a-5710-4e90-b9ed-a2ad7c7ec742",153.5,-29.5,7,"IMOS - Animal Tracking Facility - Acoustic Tracking - Quality Controlled Detections (2007 -2017)"
"0820b10a-5710-4e90-b9ed-a2ad7c7ec742",153.5,-28.5,6,"IMOS - Animal Tracking Facility - Acoustic Tracking - Quality Controlled Detections (2007 -2017)"
"0820b10a-5710-4e90-b9ed-a2ad7c7ec742",153.5,-27.5,6,"IMOS - Animal Tracking Facility - Acoustic Tracking - Quality Controlled Detections (2007 -2017)"
"09be818d-531c-4d86-8eba-5db81d42fdba",-28.5,38.5,3,"COLETA - IMAR/DOP-Uac reference collection from 1977 to 2012"
"0ae49e4e-ad4c-4b89-be2e-b6003c0038ec",140.5,-38.5,3,"OEH Atlas of NSW Wildlife, - marine records Australia (1770 - 2017)"
"0ae49e4e-ad4c-4b89-be2e-b6003c0038ec",140.5,-37.5,3,"OEH Atlas of NSW Wildlife, - marine records Australia (1770 - 2017)"
"0ae49e4e-ad4c-4b89-be2e-b6003c0038ec",141.5,-38.5,4,"OEH Atlas of NSW Wildlife, - marine records Australia (1770 - 2017)"
"0ae49e4e-ad4c-4b89-be2e-b6003c0038ec",142.5,-38.5,4,"OEH Atlas of NSW Wildlife, - marine records Australia (1770 - 2017)"
"0ae49e4e-ad4c-4b89-be2e-b6003c0038ec",143.5,-38.5,4,"OEH Atlas of NSW Wildlife, - marine records Australia (1770 - 2017)"
"0ae49e4e-ad4c-4b89-be2e-b6003c0038ec",144.5,-38.5,5,"OEH Atlas of NSW Wildlife, - marine records Australia (1770 - 2017)"
"0ae49e4e-ad4c-4b89-be2e-b6003c0038ec",144.5,-37.5,4,"OEH Atlas of NSW Wildlife, - marine records Australia (1770 - 2017)"
"0ae49e4e-ad4c-4b89-be2e-b6003c0038ec",145.5,-38.5,4,"OEH Atlas of NSW Wildlife, - marine records Australia (1770 - 2017)"
"0ae49e4e-ad4c-4b89-be2e-b6003c0038ec",146.5,-38.5,4,"OEH Atlas of NSW Wildlife, - marine records Australia (1770 - 2017)"
"0ae49e4e-ad4c-4b89-be2e-b6003c0038ec",149.5,-37.5,7,"OEH Atlas of NSW Wildlife, - marine records Australia (1770 - 2017)"
"0ae49e4e-ad4c-4b89-be2e-b6003c0038ec",149.5,-36.5,4,"OEH Atlas of NSW Wildlife, - marine records Australia (1770 - 2017)"
"0ae49e4e-ad4c-4b89-be2e-b6003c0038ec",150.5,-36.5,6,"OEH Atlas of NSW Wildlife, - marine records Australia (1770 - 2017)"
"0ae49e4e-ad4c-4b89-be2e-b6003c0038ec",150.5,-35.5,7,"OEH Atlas of NSW Wildlife, - marine records Australia (1770 - 2017)"
"0ae49e4e-ad4c-4b89-be2e-b6003c0038ec",150.5,-34.5,7,"OEH Atlas of NSW Wildlife, - marine records Australia (1770 - 2017)"
"0ae49e4e-ad4c-4b89-be2e-b6003c0038ec",151.5,-34.5,6,"OEH Atlas of NSW Wildlife, - marine records Australia (1770 - 2017)"
"0ae49e4e-ad4c-4b89-be2e-b6003c0038ec",151.5,-33.5,7,"OEH Atlas of NSW Wildlife, - marine records Australia (1770 - 2017)"
"0ae49e4e-ad4c-4b89-be2e-b6003c0038ec",151.5,-32.5,3,"OEH Atlas of NSW Wildlife, - marine records Australia (1770 - 2017)"
"0ae49e4e-ad4c-4b89-be2e-b6003c0038ec",151.5,-23.5,3,"OEH Atlas of NSW Wildlife, - marine records Australia (1770 - 2017)"
"0ae49e4e-ad4c-4b89-be2e-b6003c0038ec",152.5,-32.5,6,"OEH Atlas of NSW Wildlife, - marine records Australia (1770 - 2017)"
"0ae49e4e-ad4c-4b89-be2e-b6003c0038ec",152.5,-31.5,5,"OEH Atlas of NSW Wildlife, - marine records Australia (1770 - 2017)"
"0ae49e4e-ad4c-4b89-be2e-b6003c0038ec",153.5,-30.5,5,"OEH Atlas of NSW Wildlife, - marine records Australia (1770 - 2017)"
"0ae49e4e-ad4c-4b89-be2e-b6003c0038ec",153.5,-29.5,6,"OEH Atlas of NSW Wildlife, - marine records Australia (1770 - 2017)"
"0ae49e4e-ad4c-4b89-be2e-b6003c0038ec",153.5,-28.5,7,"OEH Atlas of NSW Wildlife, - marine records Australia (1770 - 2017)"
"0ae49e4e-ad4c-4b89-be2e-b6003c0038ec",153.5,-27.5,4,"OEH Atlas of NSW Wildlife, - marine records Australia (1770 - 2017)"
"0ae937f3-3f9e-4eb9-b33c-28aa7934d6c9",-87.5,19.5,8,"GVI Mexico Coral Reef Monitoring"
"0ae937f3-3f9e-4eb9-b33c-28aa7934d6c9",-87.5,20.5,8,"GVI Mexico Coral Reef Monitoring"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-73.5,40.5,5,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-72.5,38.5,4,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-72.5,40.5,6,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-71.5,38.5,4,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-71.5,39.5,4,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-71.5,40.5,7,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-70.5,39.5,5,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-70.5,40.5,7,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-69.5,39.5,3,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-69.5,40.5,7,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-68.5,40.5,7,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-68.5,41.5,6,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-67.5,41.5,7,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-66.5,41.5,7,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-66.5,42.5,7,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-65.5,42.5,7,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-65.5,43.5,5,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-64.5,42.5,7,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-64.5,43.5,7,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-63.5,43.5,6,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-63.5,44.5,6,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-62.5,43.5,3,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-62.5,44.5,7,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-61.5,43.5,3,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-61.5,44.5,7,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-60.5,43.5,3,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-60.5,44.5,7,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-60.5,45.5,7,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-59.5,43.5,3,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-59.5,44.5,7,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-59.5,45.5,7,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-58.5,43.5,3,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-58.5,44.5,4,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-58.5,45.5,7,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-57.5,43.5,3,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-57.5,44.5,4,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-57.5,45.5,7,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-56.5,43.5,4,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-56.5,44.5,3,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-56.5,45.5,7,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-55.5,43.5,3,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-55.5,44.5,3,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-55.5,45.5,7,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-55.5,46.5,5,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-55.5,51.5,4,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-54.5,43.5,3,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-54.5,44.5,3,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-54.5,45.5,7,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-54.5,46.5,7,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-54.5,51.5,5,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-54.5,52.5,4,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-53.5,43.5,3,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-53.5,44.5,3,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-53.5,45.5,7,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-53.5,46.5,7,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-53.5,52.5,6,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-52.5,45.5,6,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-52.5,46.5,7,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-52.5,47.5,7,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-52.5,52.5,5,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-51.5,45.5,4,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-51.5,46.5,6,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-51.5,47.5,7,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-51.5,48.5,5,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-51.5,53.5,5,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-50.5,46.5,5,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-50.5,47.5,5,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-50.5,48.5,7,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-50.5,49.5,3,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-50.5,53.5,5,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-49.5,46.5,3,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-49.5,47.5,4,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-49.5,48.5,6,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-49.5,49.5,7,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-49.5,53.5,3,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-49.5,54.5,5,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-48.5,47.5,3,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-48.5,48.5,4,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-48.5,49.5,7,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-48.5,50.5,6,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-48.5,51.5,3,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-48.5,54.5,6,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-47.5,49.5,4,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-47.5,50.5,7,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-47.5,51.5,4,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-47.5,54.5,4,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-47.5,55.5,6,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-46.5,48.5,3,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-46.5,50.5,6,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-46.5,51.5,7,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-46.5,52.5,3,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-46.5,55.5,5,"Continuous Plankton Recorder (Phytoplankton)"
"0b6c1359-22b7-46b6-bfb0-b67afaf7f245",-45.5,50.5,4,"Continuous Plankton Recorder (Phytoplankton)"
